steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
250634	1388	2062.035796880722	68.75	100.0	63.95055834817612	200.0	0.0	7.138654471838648	0.12144516073750503	52942
500119	3011	4722.0863037109375	225.88235294117646	100.0	537.7949797880276	2605.0	0.0	31.282305534254814	0.18078550623173759	115736
750053	4459	8131.34961771965	2162.2448979591836	2920.0	1263.9789444879386	3085.0	75.0	27.72318496901059	0.17830130412153422	178608
1000058	5601	11439.490280389786	1160.0	125.0	1360.151339618745	3090.0	0.0	8.428111360172917	0.11497946677983872	241400
1250000	6023	14756.57015991211	2539.027777777778	2520.0	69.8653750789376	2855.0	2420.0	16.65381451058775	0.07505430926945755	304016
1500775	6492	17992.81269621849	3042.439024390244	3040.0	53.51544112706528	3165.0	2925.0	7.201581121525495	0.020875813812244133	366851
1751088	6881	21290.57633137703	3157.1428571428573	3150.0	124.45560897875104	3365.0	2990.0	6.476259037599657	0.02159748475299567	429521
2001061	7260	24595.170054912567	3139.074074074074	3115.0	76.0404192051837	3465.0	2990.0	5.6356459563397285	0.009849076097463874	492118
2250781	7622	27909.97019314766	3185.740740740741	3190.0	158.0512557058609	3335.0	2760.0	2.5515706265922473	0.008855135391950804	554640
2501341	7910	31161.83758211136	2722.391304347826	2915.0	842.9437994385258	3345.0	75.0	2.9090992862354836	0.004850799400847362	617351
2750030	8760	34520.765244722366	8078.958333333333	7860.0	1027.482959600549	12940.0	7510.0	3.2687771479412566	0.03365206313856421	679745
3001033	9602	37936.579689741135	7461.829268292683	7470.0	512.0073737142167	7775.0	3065.0	9.537856454728562	0.06318669138144092	742718
3250025	10277	41324.534734249115	10904.2	12775.0	3344.575315464779	13275.0	2915.0	13.116176750116292	0.0635022758343094	805140
3500203	10843	44657.487499952316	3153.75	3165.0	51.00133688087366	3185.0	3010.0	6.474403256627989	0.05046632459745559	867842
3750843	11573	48058.90952348709	6357.945205479452	6930.0	3236.396941603815	12315.0	2915.0	9.927616176589654	0.0365598525464278	930677
4000034	13057	51440.76741075516	2990.0	2990.0	0.0	2990.0	2990.0	11.826901434346246	0.03496331263315304	993348
4250166	13668	54804.92819261551	11131.371681415929	12975.0	2630.8146694332504	13475.0	7500.0	11.704606237120046	0.028754174435237114	1056038
4500385	14271	58158.46327877045	12570.45112781955	13480.0	2045.362683502149	13580.0	7715.0	12.481208889903511	0.012859330103711306	1118770
4750206	14913	61556.172746896744	13087.405063291139	13390.0	1109.1914532550431	13615.0	7685.0	12.813250166110922	0.02993685740737837	1181391
5000757	15479	64910.23856306076	9072.621951219513	7980.0	1732.5714539288083	12155.0	6795.0	8.698584262776928	0.04363334279916745	1244164
5251090	16149	68306.75005459785	8522.083333333334	8050.0	1421.8249716473545	13310.0	7675.0	9.599843736473646	0.03613474139377834	1306929
5500094	16725	71628.41638350487	13246.16504854369	13405.0	860.6484684337732	13505.0	7815.0	17.425311428465058	0.03378384970850397	1369330
5750266	17523	75004.54399633408	11013.392857142857	10572.5	1362.87961315264	13220.0	7620.0	5.567845525615584	0.05929833570720998	1432074
6000213	18105	78394.64280819893	13350.814814814816	13375.0	218.0110289276835	13475.0	11655.0	20.841874112281726	0.07728299942837334	1494727
6250044	18718	81694.35127615929	13616.39534883721	13600.0	161.2906485546665	13950.0	13295.0	3.515768705681549	0.05270495040891845	1557352
6500166	19179	85077.75450181961	13623.793103448275	13680.0	209.76030186013082	13880.0	13045.0	6.445604709665574	0.034709195601390325	1619999
6750126	19847	88470.02765655518	13759.915254237289	13640.0	464.76958652261203	15710.0	13270.0	12.139841252628187	0.028908024252160464	1682658
7000245	20405	91749.82122182846	13725.722222222223	13755.0	102.85956694377133	14075.0	13475.0	13.91738644560585	0.0279269426936962	1745324
7251291	20929	94761.43305492401	14124.767441860466	14190.0	235.6448939773273	14640.0	13630.0	5.482995220815925	0.028381726129542508	1808242
7500594	21283	97644.26967668533	14083.163265306122	14035.0	662.4777463853275	16285.0	13325.0	7.015884297083911	0.023232547206436062	1870664
7750706	21854	100682.617780447	13933.91304347826	13710.0	827.6814131893566	18535.0	13095.0	6.191453545565244	0.02547932543070533	1933332
8000001	22330	103542.02399349213	17702.460317460318	20075.0	3151.1249748733967	20575.0	13710.0	14.904152829421042	0.03448181727022261	1995797
8250010	22864	106549.76803708076	15596.067961165048	13700.0	3097.21005467614	20185.0	7550.0	16.702455579073344	0.029870685121962337	2058434
8500420	23448	109817.14233016968	14298.478260869566	14172.5	889.1249565757319	19905.0	13760.0	4.214145828040554	0.042450432758220545	2121183
8750079	23884	113069.8467912674	15331.39705882353	13715.0	2567.0202898203647	20055.0	13240.0	15.828575112719719	0.03897477395554656	2183723
9000436	24500	116448.87359905243	18365.303030303032	20130.0	2906.264305677	20765.0	13710.0	12.675831727410753	0.03965732051107454	2246496
9250165	25057	119718.37952232361	13512.0	13435.0	577.5411240768921	18070.0	13305.0	7.807332434323396	0.04092235444222619	2309067
9500391	25452	122953.98476457596	15570.486111111111	13760.0	2528.4788000016733	20040.0	13385.0	11.245979768394156	0.027800324245983637	2371720
9750284	26217	126311.61303567886	13773.653846153846	13710.0	1077.7577475988448	20395.0	7660.0	16.460615754103664	0.03060349114020082	2434408
10000000	26934	129695.02691102028	19771.7816091954	20445.0	2111.3808411563346	20700.0	13325.0	12.164830856446157	0.03215720288020528	2497019
