steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
250088	2944	3568.732865333557	471.25	425.0	169.276013448737	1200.0	125.0	3.395408459065529	2.3396652616887352	53131
500034	5582	7842.360214233398	601.4851485148515	625.0	144.3945061634162	1225.0	250.0	4.373714151560258	3.740942069402153	116287
750052	7811	13314.44935631752	714.5833333333334	675.0	201.0078481749729	1300.0	325.0	3.8732232205435504	2.249477168793346	179362
1000128	9611	19268.53168964386	619.7044334975369	550.0	207.12772003280818	1350.0	150.0	4.5217755024076105	1.9612531828284612	242362
1250029	11116	25076.238854169846	784.3167701863354	775.0	385.68951927619594	4575.0	250.0	3.592528934383256	1.6763212558556913	305204
1500227	12404	30588.924703359604	591.235632183908	500.0	255.78293429088174	1375.0	200.0	3.8213506694124075	1.0231347304826448	368080
1750074	13696	36080.38417458534	1634.2424242424242	850.0	1405.962976785537	4500.0	300.0	4.044217583888486	0.9387384362318544	430857
2000075	15042	41574.27016925812	1982.6923076923076	850.0	1699.8504659115868	5150.0	250.0	6.014342323733965	1.9136356365480547	493687
2250025	16412	47066.70937871933	1128.0555555555557	775.0	1130.0666649748584	4400.0	0.0	5.186118413033766	3.8357783378560706	556535
2500041	17777	52640.98706650734	2404.491017964072	1050.0	1928.2153271381294	5775.0	350.0	5.0282269600701675	3.399314127990955	619369
2750147	19138	58150.598049879074	3738.5906040268455	4425.0	1477.621591527735	5050.0	125.0	8.032643402657682	6.8897073508032785	682258
3000018	20655	63619.80547118187	1186.732456140351	750.0	1323.078343316938	4850.0	200.0	10.463865411416494	11.18624431530056	745111
3250097	22321	69056.7330403328	2566.2576687116566	975.0	2061.697905655592	5725.0	175.0	12.013037932741677	7.991159265200515	808080
3500223	23683	74484.903049469	4025.474683544304	4537.5	1436.823702775737	5550.0	325.0	15.63326170484501	8.258668629553403	870954
3750051	24939	79983.84922885895	4579.044117647059	4800.0	1043.6679468223601	5725.0	225.0	12.98525353497057	6.407831136507089	933766
4000158	26196	85479.4237036705	1957.5870646766168	500.0	2028.5713010963752	5400.0	150.0	7.0204702986179885	5.102104852187603	996626
4250025	27391	90962.82726812363	4557.046979865771	4550.0	658.879580676191	5200.0	275.0	11.490916380559995	3.9043378226346963	1059425
4500382	28561	96446.78054881096	4637.857142857143	4725.0	930.9693916676282	8550.0	750.0	8.857291463486433	3.315081860443673	1122311
4750031	29726	101973.23329091072	5891.796875	5100.0	1860.6950625762593	9175.0	375.0	9.305770856239727	2.9217758748724583	1185011
5000086	30818	107522.13400697708	4759.760273972603	4762.5	1135.1111645685635	8875.0	250.0	9.720709303838616	3.5674273605628506	1247816
5250255	32093	113007.19406843185	4801.388888888889	4875.0	1743.6793391898746	8975.0	150.0	10.48738867824795	6.521822209330443	1310699
5500183	33289	118474.99712371826	2522.6439790575914	725.0	2929.4322602372667	9350.0	250.0	8.327249909737162	5.485692467871158	1373488
5750067	34502	123933.6109316349	5098.007246376812	4712.5	2064.3305006721916	9100.0	225.0	17.01598725795702	7.053987963796397	1436268
6000729	35758	129397.00706338882	2453.3854166666665	675.0	3005.8867196045685	9300.0	0.0	13.903330131994652	8.458777631353085	1499247
6250173	36941	134866.92741298676	5319.465648854962	4875.0	2561.6894404270665	9300.0	225.0	10.801559089305682	8.050771396850589	1561897
6500213	38137	140336.407340765	5459.883720930233	5225.0	3510.6804375805905	9375.0	275.0	17.187932762049908	7.959276464948906	1624686
6750079	39162	145809.84681010246	5326.584507042254	4975.0	2959.780958549998	12850.0	175.0	14.756967488495205	7.037127533727823	1687400
7000175	40219	151289.88801574707	3581.0185185185187	837.5	3737.1693600560698	12950.0	175.0	11.307263452675786	7.298009474723346	1750175
7250249	41289	156768.89492821693	3556.0693641618495	4350.0	3278.4985991956873	12900.0	200.0	14.810890850955547	7.504141805112558	1812950
7500383	42273	162234.65918707848	8360.87962962963	8525.0	4275.827614522583	16675.0	375.0	17.143012612233175	6.871853967407194	1875733
7750005	43207	167681.07472085953	5410.314685314685	4500.0	5512.970723946634	17475.0	325.0	18.56149644142717	6.107858401849165	1938390
8000608	44117	173149.70821022987	7942.105263157895	8662.5	3708.1340210441626	16650.0	300.0	16.60111542791329	6.984162531062701	2001271
8250399	44989	178651.6760802269	8606.578947368422	8925.0	5501.655073412863	17550.0	200.0	18.210709391731182	7.438187417323824	2063914
8500502	45901	184188.04460525513	5444.444444444444	4375.0	5044.802692274506	16275.0	0.0	9.712522040022497	7.753008268506935	2126669
8750022	46829	189688.23293709755	9577.752293577982	8625.0	4928.200148795898	17200.0	300.0	16.812084366187154	5.653568376094727	2189266
9000013	47706	195226.06425976753	9358.863636363636	9075.0	5757.326391917452	17250.0	125.0	14.509808865958702	5.9408732327617475	2251996
9250464	48581	200754.46357798576	12275.280898876405	15900.0	4998.028722744699	17325.0	350.0	14.322624744848685	6.611477924071413	2314818
9500243	49436	206298.63153409958	6111.95652173913	4100.0	6106.077367313166	17025.0	50.0	14.873268518985244	5.703363650262743	2377497
9750473	50249	211820.5772778988	12441.369047619048	16075.0	5882.53937417073	17350.0	400.0	16.187088743013312	5.82158967348552	2440257
10000000	51148	217384.54235053062	5875.0	4775.0	5726.9928641150755	17250.0	175.0	14.624594745066831	5.677069337056221	2502879
